,country,region,dept_id,city,address,heat_cycle,creation_date,modified_date,validity_date,archived,emissions,uncertainty,unit,source,unit_id,unit_name,source_id,source_name
0,France,Auvergne-Rhône-Alpes,1,Bourg-en-Bresse,La Reyssouze ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.141,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
1,France,Auvergne-Rhône-Alpes,1,Oyonnax,La Forge ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.268,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
2,France,Auvergne-Rhône-Alpes,1,Oyonnax,La Plaine (HLM) ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.334,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
3,France,Auvergne-Rhône-Alpes,1,Saint-Denis-les-Bourg,Réseau de Saint-Denis-les-Bourg ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.055,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
4,France,Auvergne-Rhône-Alpes,1,Marignieu,Belena ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.008,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
5,France,Auvergne-Rhône-Alpes,1,Val-Revermont,Réseau de Treffort ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.051,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
6,France,Hauts de France,2,Saint-Quentin,ZUP du Quartier Europe ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.135,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
7,France,Hauts de France,2,Soissons,ZUP de Presles ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.077,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
8,France,Hauts de France,2,Laon,Réseau de Laon ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.004,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
9,France,Hauts de France,2,Urcel,Réseau d'Urcel ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.04,30%,kgCO2e/kWh,Legifrance,27,kgCO2e/kWh,32.0,Legifrance
