,country,region,dept_id,city,address,heat_cycle,creation_date,modified_date,validity_date,archived,emissions,uncertainty,unit,source
11300,France,Rhône-Alpes,1,Bourg-en-Bresse,La Reyssouze ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.141,30%,kgCO2e/kWh,Legifrance
11301,France,Rhône-Alpes,1,Oyonnax,La Forge ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.268,30%,kgCO2e/kWh,Legifrance
11302,France,Rhône-Alpes,1,Oyonnax,La Plaine (HLM) ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.334,30%,kgCO2e/kWh,Legifrance
11303,France,Rhône-Alpes,1,Saint-Denis-les-Bourg,Réseau de Saint-Denis-les-Bourg ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.055,30%,kgCO2e/kWh,Legifrance
11304,France,Rhône-Alpes,1,Marignieu,Belena ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.008,30%,kgCO2e/kWh,Legifrance
11305,France,Rhône-Alpes,1,Val-Revermont,Réseau de Treffort ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.051,30%,kgCO2e/kWh,Legifrance
11306,France,Picardie,2,Saint-Quentin,ZUP du Quartier Europe ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.135,30%,kgCO2e/kWh,Legifrance
11307,France,Picardie,2,Soissons,ZUP de Presles ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.077,30%,kgCO2e/kWh,Legifrance
11308,France,Picardie,2,Laon,Réseau de Laon ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.004,30%,kgCO2e/kWh,Legifrance
11309,France,Picardie,2,Urcel,Réseau d'Urcel ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.04,30%,kgCO2e/kWh,Legifrance
11310,France,Auvergne,3,Moulins,Réseau de Moulins ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.028,30%,kgCO2e/kWh,Legifrance
11311,France,Auvergne,3,Montluçon,Fontbouillant ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.124,30%,kgCO2e/kWh,Legifrance
11312,France,Auvergne,3,Mayet-de-Montagne,Réseau de Mayet-de-Montagne ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.011,30%,kgCO2e/kWh,Legifrance
11313,France,Auvergne,3,Meaulne,Meaulne ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.268,30%,kgCO2e/kWh,Legifrance
11314,France,Provence-Alpes-Côte d'Azur,4,Manosque,RCU Manosque ZAC Chanteprunier ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.036,30%,kgCO2e/kWh,Legifrance
11315,France,Provence-Alpes-Côte d'Azur,5,Embrun,Réseau bois Delaroche ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.06575,30%,kgCO2e/kWh,Legifrance
11316,France,Provence-Alpes-Côte d'Azur,5,Embrun,Réseau Quartier Gare ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.005,30%,kgCO2e/kWh,Legifrance
11317,France,Provence-Alpes-Côte d'Azur,6,Nice,Sonitherm-Réseau de l'Ariane ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.003,30%,kgCO2e/kWh,Legifrance
11318,France,Provence-Alpes-Côte d'Azur,6,Nice,Saint Augustin (HLM) ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.197,30%,kgCO2e/kWh,Legifrance
11319,France,Provence-Alpes-Côte d'Azur,6,Cannes,Ranguin ,heat,2017-12-01,2019-09-01,2017-01-01,True,0.135,30%,kgCO2e/kWh,Legifrance
