,region_name,tree_type_name,forest_type_name,land_loss,unit_name,uncertainty,creation_date,modified_date,validity_date,source_name,region_id,forest_type_id,tree_type_id,unit_id,source_id
14140,Grand Est,Coniferous,Closed forest,-4120.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,2,26,2
14141,Grand Est,Coniferous,Open and closed forest,-4120.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,2,26,2
14142,Grand Est,Deciduous,Closed forest,-4710.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,1,26,2
14143,Grand Est,Deciduous,Open and closed forest,-4690.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,1,26,2
14144,Grand Est,Mixed,Closed forest,-5540.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,3,26,2
14145,Grand Est,Mixed,Open and closed forest,-5540.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,3,26,2
14146,Grand Est,Total,Closed forest,-4760.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,4,26,2
14147,Grand Est,Total,Open and closed forest,-4760.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,4,26,2
14148,Aquitaine-Limousin-Poitou-Charentes,Coniferous,Closed forest,2580.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,2,2,26,2
14149,Aquitaine-Limousin-Poitou-Charentes,Coniferous,Open and closed forest,2580.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,3,2,26,2
14150,Aquitaine-Limousin-Poitou-Charentes,Deciduous,Closed forest,-4390.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,2,1,26,2
14151,Aquitaine-Limousin-Poitou-Charentes,Deciduous,Open and closed forest,-4330.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,3,1,26,2
14152,Aquitaine-Limousin-Poitou-Charentes,Mixed,Closed forest,-1080.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,2,3,26,2
14153,Aquitaine-Limousin-Poitou-Charentes,Mixed,Open and closed forest,-1010.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,3,3,26,2
14154,Aquitaine-Limousin-Poitou-Charentes,Total,Closed forest,-1170.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,2,4,26,2
14155,Aquitaine-Limousin-Poitou-Charentes,Total,Open and closed forest,-890.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,3,4,26,2
14156,Auvergne-Rhône-Alpes,Coniferous,Closed forest,-5880.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,3,2,2,26,2
14157,Auvergne-Rhône-Alpes,Coniferous,Open and closed forest,-5710.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,3,3,2,26,2
14158,Auvergne-Rhône-Alpes,Deciduous,Closed forest,-4310.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,3,2,1,26,2
14159,Auvergne-Rhône-Alpes,Deciduous,Open and closed forest,-4240.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,3,3,1,26,2
14160,Auvergne-Rhône-Alpes,Mixed,Closed forest,-5750.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,3,2,3,26,2
